beta_ti,beta_id,mean_TI,mean_acc,score
1,0.1,589.4459918615354,0.5002,294.84088512913996
1,0.2,565.8593241318956,0.5014000000000001,283.7218651197325
1,0.5,560.3651161188793,0.5024,281.5274343381249
1,1.0,568.0394503427244,0.4958,281.6339594799228
1,2.0,571.1895738149019,0.4906,280.22560491359087
1,5.0,568.8905984200726,0.4808,273.5225997203709
1,10.0,570.6625304559309,0.4896,279.39637491122375
2,0.1,575.5337019864155,0.4968,285.9251431468512
2,0.2,555.7868997927624,0.5095999999999999,283.2290041343917
2,0.5,581.5814311291457,0.4974,289.2786038436371
2,1.0,555.417721227395,0.4962,275.5982732730334
2,2.0,566.3619324263638,0.4948,280.23588416456477
2,5.0,575.7203721047321,0.5034000000000001,289.81763531752216
2,10.0,571.8682300803366,0.4894,279.87231180131676
5,0.1,569.7802567289793,0.4984,283.9784799537233
5,0.2,568.189630688343,0.5002,284.2084532703091
5,0.5,561.5664015710728,0.49540000000000006,278.1999953383095
5,1.0,550.3497445498782,0.5054000000000001,278.14676089550846
5,2.0,557.9918833777207,0.5065999999999999,282.67868811915326
5,5.0,577.7304243922306,0.49660000000000004,286.90092875318174
5,10.0,572.1330617130743,0.5078,290.52916873789917
10,0.1,550.6486717798977,0.5004,275.5445953586608
10,0.2,573.9748217975099,0.5088,292.03838933057307
10,0.5,572.1039387251689,0.5046,288.68364748072025
10,1.0,574.2395750358105,0.4934,283.3298063226689
10,2.0,565.0306903968395,0.4962000000000001,280.3682285749118
10,5.0,580.3140661409394,0.507,294.2192315334563
10,10.0,582.5975277362123,0.49540000000000006,288.6188152405196
20,0.1,565.9426793715963,0.47919999999999996,271.1997319548689
20,0.2,565.5617166061799,0.508,287.3053520359394
20,0.5,565.83601336904,0.5058,286.1998555620604
20,1.0,550.9383767753886,0.49939999999999996,275.13862536162907
20,2.0,562.0038241266177,0.4981999999999999,279.9903051798809
20,5.0,576.5538841581389,0.48919999999999997,282.05016013016154
20,10.0,572.6264171630218,0.4984,285.39700631405003
50,0.1,567.6517654796907,0.49879999999999997,283.1447006212697
50,0.2,570.8761325327414,0.5004,285.6664167193838
50,0.5,583.4119244832743,0.5046,294.38965709426026
50,1.0,571.0756230143967,0.4981999999999999,284.5098753857724
50,2.0,565.9481901475972,0.5048,285.69064638650707
50,5.0,567.7551289348128,0.49339999999999995,280.1303806164366
50,10.0,562.5203620755204,0.479,269.4472534341743
100,0.1,569.2853885098459,0.5014000000000001,285.4396937988368
100,0.2,569.0187307816875,0.4958,282.1194867215607
100,0.5,564.834631199504,0.49139999999999995,277.55973777143623
100,1.0,583.5069285743446,0.5025999999999999,293.27058230146554
100,2.0,561.7480757432749,0.4928,276.82945172628587
100,5.0,572.6589743577752,0.49379999999999996,282.77900153786936
100,10.0,564.5865971589557,0.5095999999999999,287.7133299122038
