beta_ti,beta_id,mean_TI,mean_acc,score
1,0.1,559.3017962847237,0.5112,285.9150782607507
1,0.2,558.2014099987894,0.5012000000000001,279.7705466913933
1,0.5,544.5460824138596,0.5044,274.6690439695508
1,1.0,560.4895633824577,0.5,280.24478169122887
1,2.0,553.1550126423703,0.515,284.8748315108207
1,5.0,537.0775044864133,0.5066,272.083463772817
1,10.0,554.1937209319597,0.5042000000000001,279.4244740938941
2,0.1,552.6052073977214,0.5025999999999999,277.73937723809473
2,0.2,541.8031201076017,0.5032,272.6353300381451
2,0.5,545.4055692999498,0.5077999999999999,276.95694809051446
2,1.0,554.414185452796,0.5119999999999999,283.8600629518315
2,2.0,561.0149807007916,0.5042,282.8637532693391
2,5.0,556.8499789572066,0.5115999999999999,284.88444923450686
2,10.0,553.5714623174392,0.5088000000000001,281.65716002711315
5,0.1,555.9736128221666,0.4981999999999999,276.9860539080034
5,0.2,548.7650696420061,0.513,281.51648072634913
5,0.5,561.2726842351396,0.49380000000000007,277.156451475312
5,1.0,555.8788802335291,0.49860000000000004,277.16120968443767
5,2.0,556.4755209786675,0.4946,275.232792676049
5,5.0,548.7274140289317,0.4922000000000001,270.0836331850402
5,10.0,558.2704382105635,0.5114000000000001,285.49950210088224
10,0.1,557.9864075440858,0.5095999999999999,284.34987328446607
10,0.2,563.4272707820068,0.48840000000000006,275.17787904993213
10,0.5,551.4512958637732,0.5016,276.60797000526867
10,1.0,536.0405036970626,0.5192000000000001,278.312229519515
10,2.0,547.4084436429156,0.5166000000000002,282.7912019859303
10,5.0,551.0518483765987,0.5056,278.61181453920835
10,10.0,544.8465457926723,0.5198,283.21123450303105
20,0.1,539.8508359704055,0.5186,279.9666435342522
20,0.2,545.2597740222451,0.49879999999999997,271.97557528229584
20,0.5,538.0555341315,0.5122,275.5920445821543
20,1.0,538.4825436553299,0.518,278.9339576134609
20,2.0,533.6690834458956,0.5112,272.8116354575418
20,5.0,539.3003238880123,0.5038,271.6995031747806
20,10.0,552.2499614328248,0.5077999999999999,280.43253041558836
50,0.1,542.4431340700512,0.5104,276.86297562935414
50,0.2,562.1331106875599,0.5054000000000001,284.10207414149284
50,0.5,558.0368493115004,0.4917999999999999,274.44252249139583
50,1.0,547.5648333225496,0.5056,276.8487797278811
50,2.0,548.9999607699147,0.4958,272.1941805497237
50,5.0,547.8277847769325,0.5081999999999999,278.40608022363705
50,10.0,543.0493231368123,0.5078,275.7604462888733
100,0.1,552.0614321284554,0.5112,282.2138041040664
100,0.2,541.2890949185487,0.5104,276.27395404642726
100,0.5,561.6758593146039,0.5114,287.24103445348845
100,1.0,540.9969348858396,0.4962,268.4426790903536
100,2.0,554.9033187179749,0.4986,276.6747947127823
100,5.0,549.3575092743582,0.5008,275.1182406445986
100,10.0,545.0608985193174,0.5035999999999999,274.49266849432826
