alg,rep,TI,Identity
Greedy,0,1309.6454407524147,0.1724137931034483
Greedy,1,1301.9657392542542,0.19504310344827586
Greedy,2,1320.9353142752773,0.17564655172413793
Greedy,3,1307.5666191768466,0.18318965517241378
Greedy,4,1302.478354308322,0.20150862068965517
MCMC_new,0,1081.575387080856,0.2273706896551724
MCMC_new,1,1086.473717970644,0.22844827586206898
MCMC_new,2,1072.5619119392504,0.2252155172413793
MCMC_new,3,1061.619378806395,0.2338362068965517
MCMC_new,4,1091.953977789151,0.22413793103448276
MCMC_old,0,735.5215845704098,0.05603448275862069
MCMC_old,1,757.8666911297671,0.06465517241379311
MCMC_old,2,756.6066621885277,0.07219827586206896
MCMC_old,3,778.2738419137131,0.061422413793103446
MCMC_old,4,751.0339962273424,0.07112068965517242
